,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
37,2015 Maruti Alto K10,VXI,Manual,"51,005 km",1st Owner,Petrol,DL-2C,"5,083/month","2,60,000","Vasant Kunj, New Delhi"
38,2014 Hyundai i10,MAGNA 1.1 IRDE2,Manual,"66,490 km",1st Owner,Petrol,DL-10,"5,591/month","2,86,000","Sector-18, Noida"
39,2020 Tata ALTROZ,XE PETROL,Manual,"27,314 km",1st Owner,Petrol,DL-3C,"11,144/month","5,70,000","KW Delhi 6, Raj Nagar Extension, Ghaziabad"
40,2017 Tata Tiago,XE PETROL,Manual,"62,170 km",1st Owner,Petrol,DL-10,"7,429/month","3,80,000","Sector-18, Noida"
41,2018 Hyundai Verna,1.6 CRDI SX + AT,Automatic,"79,776 km",2nd Owner,Diesel,HR-26,"16,027/month","8,42,000","Metro Walk, Rohini, New Delhi"
42,2020 Skoda Rapid,ACTIVE 1.0 TSI,Manual,"30,761 km",1st Owner,Petrol,DL-10,"16,883/month","8,87,000","Vasant Kunj, New Delhi"
43,2015 Maruti Swift Dzire,LXI (O),Manual,"1,08,326 km",1st Owner,CNG,DL-2C,"7,077/month","3,62,000","GIP Mall, Noida"
44,2014 Maruti Swift Dzire,VXI,Manual,"41,810 km",1st Owner,Petrol,DL-6C,"7,194/month","3,68,000","Vasant Kunj, New Delhi"
45,2020 Mahindra KUV 100 NXT,K8 6 STR,Manual,"27,973 km",1st Owner,Petrol,DL-8C,"10,929/month","5,59,000","Metro Walk, Rohini, New Delhi"
46,2020 Hyundai Verna,SX (O) 1.5 VTVT IVT,Automatic,"23,961 km",1st Owner,Petrol,DL-8C,"24,459/month","12,85,000","Sector-18, Noida"
47,2021 Renault Kiger,RXL EASY R 1.0 L,Automatic,"41,984 km",1st Owner,Petrol,HR-19,"12,219/month","6,25,000","Spaze Platinum, Sohna Road, Gurugram"
48,2016 Honda Amaze,1.2L I-VTEC S,Manual,"69,704 km",1st Owner,Petrol,HR-51,"6,491/month","3,32,000","Vasant Kunj, New Delhi"
49,2016 Honda Jazz,1.2L I-VTEC E,Manual,"62,326 km",3rd Owner,Petrol,UP-16,"7,155/month","3,66,000","Sector-18, Noida"
50,2016 Renault Duster,RXL PETROL,Manual,"23,137 km",1st Owner,Petrol,DL-8C,"10,166/month","5,20,000","Vasant Kunj, New Delhi"
51,2018 Maruti Vitara Brezza,VDI,Manual,"38,226 km",1st Owner,Diesel,UP-14,"13,548/month","6,93,000","Sector-18, Noida"
