,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
37,2019 Hyundai Xcent,SX 1.2,Manual,"25,887 km",1st Owner,Petrol,KA-63,"13,451/month","6,88,000","Sonnappanahalli
"
38,2020 Renault TRIBER,RXL MT,Manual,"32,937 km",2nd Owner,Petrol,KA-19,"11,476/month","5,87,000","Hosur Road, Singasandra, Bengaluru"
39,2012 Honda Brio,V MT,Manual,"97,335 km",2nd Owner,Petrol,KA-22,"5,709/month","2,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
40,2017 Hyundai Grand i10,ASTA 1.2 KAPPA VTVT,Manual,"70,381 km",1st Owner,Petrol,KA-50,"11,046/month","5,65,000","Sonnappanahalli
"
41,2016 Hyundai Elite i20,SPORTZ 1.2,Manual,"1,04,885 km",1st Owner,Petrol,KA-05,"11,046/month","5,65,000","Horamavu Agara Road, Bengaluru"
42,2015 Maruti Celerio,VXI AMT (O),Automatic,"1,12,268 km",3rd Owner,Petrol,KA-41,"6,784/month","3,47,000","Sonnappanahalli
"
43,2013 Hyundai i20,SPORTZ 1.2,Manual,"91,716 km",3rd Owner,Petrol,KA-53,"7,155/month","3,66,000","Bellahalli, Bengaluru"
44,2018 Maruti Dzire,VXI AMT,Automatic,"54,137 km",1st Owner,Petrol,KA-05,"12,082/month","6,18,000","Bellahalli, Bengaluru"
45,2016 Hyundai Elite i20,ASTA 1.2,Manual,"73,969 km",1st Owner,Petrol,KA-53,"13,411/month","6,86,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
46,2016 Honda Jazz,1.2L I-VTEC SV,Manual,"56,814 km",1st Owner,Petrol,KA-03,"10,518/month","5,38,000","Horamavu Agara Road, Bengaluru"
47,2015 Maruti Alto 800,LXI,Manual,"52,425 km",1st Owner,Petrol,KA-41,"6,158/month","3,15,000","Sonnappanahalli
"
48,2016 Mahindra TUV300,T8,Manual,"84,575 km",1st Owner,Diesel,KA-05,"14,252/month","7,29,000","Bellahalli, Bengaluru"
49,2017 Honda Brio,VX AT,Automatic,"42,509 km",2nd Owner,Petrol,KA-05,"10,244/month","5,24,000","Hosur Road, Singasandra, Bengaluru"
50,2018 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"72,131 km",1st Owner,Diesel,KA-04,"13,783/month","7,05,000","Horamavu Agara Road, Bengaluru"
51,2020 Renault TRIBER,RXZ AMT,Automatic,"7,922 km",1st Owner,Petrol,KA-03,"14,487/month","7,41,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
52,2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"4,032 km",2nd Owner,Petrol,KA-01,"10,068/month","5,15,000","GT World Mall, Bengaluru"
53,2013 Maruti Swift,VDI,Manual,"1,13,498 km",1st Owner,Diesel,KA-19,"8,192/month","4,19,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
54,2017 Maruti Baleno,ZETA PETROL 1.2,Manual,"60,624 km",2nd Owner,Petrol,KA-06,"13,196/month","6,75,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
55,2019 Tata NEXON,XZ+ 1.5,Manual,"67,271 km",1st Owner,Diesel,KA-05,"15,722/month","8,26,000","Garuda Mall, Magrath Road, Bengaluru"
56,2014 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"40,546 km",1st Owner,Petrol,KA-53,"8,719/month","4,46,000","Bellahalli, Bengaluru"
57,2021 KIA SELTOS,HTX 1.5 PETROL,Manual,"7,265 km",1st Owner,Petrol,KA-04,"27,257/month","14,32,000","Garuda Mall, Magrath Road, Bengaluru"
58,2019 Maruti Ciaz,ALPHA DIESEL 1.5,Manual,"1,22,864 km",2nd Owner,Diesel,KA-02,"14,917/month","7,63,000","Bellahalli, Bengaluru"
59,2016 Maruti Swift,ZXI,Manual,"43,946 km",1st Owner,Petrol,KA-51,"13,177/month","6,74,000","GT World Mall, Bengaluru"
60,2022 Mahindra Scorpio,S7,Manual,"35,182 km",1st Owner,Diesel,KA-34,"30,949/month","16,26,000","Garuda Mall, Magrath Road, Bengaluru"
61,2019 Maruti Ciaz,ALPHA  AT 1.5 SHVS PETROL,Automatic,"17,674 km",1st Owner,Petrol,KA-50,"18,920/month","9,94,000","Hosur Road, Singasandra, Bengaluru"
62,2011 Hyundai i20,MAGNA (O) 1.2,Manual,"1,48,625 km",2nd Owner,Petrol,KA-51,"5,943/month","3,04,000","Bellahalli, Bengaluru"
63,2019 Tata Harrier,XZ 2.0L Kryotec,Manual,"28,315 km",1st Owner,Diesel,KA-05,"31,007/month","16,29,000","Garuda Mall, Magrath Road, Bengaluru"
64,2014 Maruti Celerio,VXI AMT,Automatic,"99,227 km",1st Owner,Petrol,KA-50,"7,175/month","3,67,000","Bellahalli, Bengaluru"
65,2021 Toyota Glanza,V,Manual,"13,898 km",1st Owner,Petrol,KA-51,"15,551/month","8,17,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
66,2019 Mahindra XUV 3OO,W6 1.5 DIESEL,Manual,"29,953 km",1st Owner,Diesel,KA-03,"15,951/month","8,38,000","Garuda Mall, Magrath Road, Bengaluru"
67,2018 Hyundai Elite i20,ASTA 1.2 (O),Manual,"65,015 km",1st Owner,Petrol,KA-40,"13,842/month","7,08,000","Bellahalli, Bengaluru"
