,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
319,2021 Maruti Dzire,VXI,Manual,"78,582 km",1st Owner,Petrol,MH-02,"13,470/month","6,89,000","Goregaon, Mumbai"
320,2017 Honda City,1.5L I-VTEC ZX CVT,Automatic,"42,503 km",2nd Owner,Petrol,MH-12,"15,210/month","7,78,000","Rupa Renaissance, Navi Mumbai"
321,2017 Hyundai Grand i10,SPORTZ (O) AT 1.2 KAPPA VTVT,Automatic,"62,721 km",1st Owner,Petrol,MH-03,"10,909/month","5,58,000","Rupa Renaissance, Navi Mumbai"
322,2022 Hyundai NEW I20,ASTA (O) 1.2 MT,Manual,"17,575 km",1st Owner,Petrol,MH-03,"18,825/month","9,89,000","Mulund, Mumbai"
323,2020 Maruti S Cross,ALPHA 1.5 SMART HYBRID,Manual,"52,521 km",1st Owner,Petrol,MH-40,"20,157/month","10,59,000","Mulund, Mumbai"
324,2015 Maruti Ciaz,VXI+,Manual,"24,840 km",1st Owner,Petrol,MH-05,"10,948/month","5,60,000","Mulund, Mumbai"
325,2010 Maruti Wagon R 1.0,VXI,Manual,"62,396 km",1st Owner,Petrol,MH-03,"4,379/month","2,24,000","Rupa Renaissance, Navi Mumbai"
326,2018 Hyundai NEW SANTRO,SPORTZ AMT,Automatic,"24,127 km",2nd Owner,Petrol,MH-01,"9,931/month","5,08,000","Goregaon, Mumbai"
327,2021 Maruti Ciaz,ALPHA  AT 1.5 SHVS PETROL,Automatic,"8,740 km",1st Owner,Petrol,MH-46,"19,167/month","10,07,000","Goregaon, Mumbai"
328,2020 Maruti S PRESSO,VXI CNG,Manual,"19,126 km",1st Owner,CNG,MH-46,"9,580/month","4,90,000","Rupa Renaissance, Navi Mumbai"
329,2016 Honda City,1.5L I-VTEC VX CVT,Automatic,"82,845 km",2nd Owner,Petrol,MH-46,"12,669/month","6,48,000","Rupa Renaissance, Navi Mumbai"
330,2017 Hyundai Verna,1.6 VTVT SX (O) AT,Automatic,"56,667 km",1st Owner,Petrol,MH-47,"17,492/month","9,19,000","Rupa Renaissance, Navi Mumbai"
331,2016 Honda City,VX CVT PETROL,Automatic,"61,703 km",1st Owner,Petrol,MH-02,"13,705/month","7,01,000","Goregaon, Mumbai"
332,2016 Maruti Vitara Brezza,ZDI PLUS DUAL TONE,Manual,"73,632 km",2nd Owner,Diesel,MH-04,"14,154/month","7,24,000","Mulund, Mumbai"
