,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
40,2015 Maruti Alto K10,VXI,Manual,"44,099 km",1st Owner,Petrol,TN-20,"6,373/month","3,26,000","Thiruverkadu, Chennai
"
41,2017 Hyundai i20 Active,1.2 SX,Manual,"69,786 km",2nd Owner,Petrol,TN-10,"11,300/month","5,78,000","Navalur
"
42,2018 Nissan Micra Active,XV S,Manual,"81,680 km",1st Owner,Petrol,TN-14,"7,625/month","3,90,000","Thiruverkadu, Chennai
"
43,2015 Maruti Swift,VXI,Manual,"69,232 km",1st Owner,Petrol,TN-18,"9,032/month","4,62,000","Thiruverkadu, Chennai
"
44,2016 Hyundai i20 Active,1.2 SX,Manual,"26,491 km",1st Owner,Petrol,TN-22,"12,238/month","6,26,000","Thiruverkadu, Chennai
"
45,2017 Jeep Compass,LONGITUDE 2.0 DIESEL,Manual,"49,397 km",2nd Owner,Diesel,TN-10,"22,422/month","11,78,000","Thiruverkadu, Chennai
"
46,2016 Toyota Etios,CROSS 1.2 G,Manual,"56,380 km",1st Owner,Petrol,TN-10,"10,010/month","5,12,000","Thiruverkadu, Chennai
"
47,2019 Datsun Go Plus,A(O),Manual,"71,413 km",1st Owner,Petrol,TN-04,"8,113/month","4,15,000","Thiruverkadu, Chennai
"
48,2019 Volkswagen Polo,COMFORTLINE  CUP EDITION,Manual,"94,931 km",1st Owner,Petrol,TN-81,"13,020/month","6,66,000","Navalur
"
49,2016 Maruti Celerio,VXI (O),Manual,"69,437 km",3rd Owner,Petrol,TN-11,"7,253/month","3,71,000","Navalur
"
50,2020 Maruti Celerio,VXI AMT,Automatic,"29,864 km",3rd Owner,Petrol,TN-11,"9,482/month","4,85,000","Thiruverkadu, Chennai
"
51,2017 Hyundai Elite i20,ASTA 1.4 CRDI (O),Manual,"63,734 km",2nd Owner,Diesel,TN-09,"12,141/month","6,21,000","Navalur
"
52,2014 Hyundai Elite i20,SPORTZ 1.4 CRDI,Manual,"76,697 km",3rd Owner,Diesel,TN-02,"9,677/month","4,95,000","Thiruverkadu, Chennai
"
53,2018 Renault Duster,RXE PETROL,Manual,"61,426 km",2nd Owner,Petrol,TN-02,"13,392/month","6,85,000","Navalur
"
54,2020 MG HECTOR,SMART 2.0 DIESEL,Manual,"50,691 km",1st Owner,Diesel,TN-19,"29,579/month","15,54,000","Thiruverkadu, Chennai
"
55,2017 Tata Tiago,XZ PETROL,Manual,"65,287 km",1st Owner,Petrol,TN-10,"8,465/month","4,33,000","Navalur
"
56,2017 Volkswagen Polo,HIGHLINE1.2L PETROL,Manual,"97,912 km",2nd Owner,Petrol,TN-12,"10,459/month","5,35,000","Thiruverkadu, Chennai
"
57,2020 Honda City,1.5L I-VTEC VX CVT,Automatic,"31,871 km",1st Owner,Petrol,TN-11,"22,213/month","11,67,000","Navalur
"
58,2019 Honda Civic,1.8L I-VTEC ZX CVT,Automatic,"52,478 km",1st Owner,Petrol,TN-70,"31,026/month","16,30,000","Navalur
"
59,2022 Renault Kwid,RXL 1.0,Manual,"14,023 km",1st Owner,Petrol,TN-02,"8,993/month","4,60,000","Navalur
"
60,2020 Hyundai GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,Manual,"1,10,054 km",1st Owner,Petrol,TN-96,"12,473/month","6,38,000","Navalur
"
61,2021 Hyundai NEW I20,SPORTZ 1.2 MT,Manual,"73,768 km",1st Owner,Petrol,TN-10,"14,565/month","7,45,000","Thiruverkadu, Chennai
"
62,2017 Honda Jazz,1.2L I-VTEC SV,Manual,"43,025 km",2nd Owner,Petrol,TN-18,"10,459/month","5,35,000","Navalur
"
63,2020 Mahindra XUV500,W11(O),Manual,"56,938 km",2nd Owner,Diesel,TN-14,"29,903/month","15,71,000","Navalur
"
64,2016 Maruti Alto 800,VXI O,Manual,"21,665 km",3rd Owner,Petrol,TN-07,"5,670/month","2,90,000","Thiruverkadu, Chennai
"
65,2016 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"63,976 km",2nd Owner,Petrol,TN-02,"15,386/month","7,87,000","Thiruverkadu, Chennai
"
66,2022 Maruti Swift,VXI,Manual,"6,055 km",2nd Owner,Petrol,TN-32,"13,822/month","7,07,000","Thiruverkadu, Chennai
"
67,2017 Hyundai New Elantra,2.0 SX MT PETROL,Manual,"1,15,484 km",2nd Owner,Petrol,TN-19,"15,912/month","8,36,000","Navalur
"
68,2016 Hyundai Eon,ERA PLUS (O),Manual,"53,098 km",2nd Owner,Petrol,TN-01,"5,728/month","2,93,000","Thiruverkadu, Chennai
"
69,2016 Volkswagen Vento,HIGHLINE 1.6 MPI,Manual,"77,313 km",1st Owner,Petrol,TN-09,"12,297/month","6,29,000","Thiruverkadu, Chennai
"
70,2016 Hyundai i20 Active,1.2 SX,Manual,"57,910 km",2nd Owner,Petrol,TN-11,"10,909/month","5,58,000","Thiruverkadu, Chennai
"
71,2017 Honda City,1.5L I-VTEC V MT,Manual,"58,995 km",2nd Owner,Petrol,TN-54,"14,878/month","7,61,000","Thiruverkadu, Chennai
"
72,2019 Hyundai Creta,E PLUS 1.4 DIESEL,Manual,"47,950 km",1st Owner,Diesel,TN-12,"18,863/month","9,91,000","Thiruverkadu, Chennai
"
73,2014 Hyundai Grand i10,ASTA 1.1 CRDI (O),Manual,"62,713 km",2nd Owner,Diesel,TN-07,"7,937/month","4,06,000","Thiruverkadu, Chennai
"
74,2017 Maruti Wagon R 1.0,VXI+,Manual,"31,637 km",2nd Owner,Petrol,TN-10,"8,192/month","4,19,000","Navalur
"
75,2021 Renault TRIBER,RXL MT,Manual,"23,539 km",1st Owner,Petrol,TN-12,"12,825/month","6,56,000","Thiruverkadu, Chennai
"
76,2018 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"79,089 km",2nd Owner,Petrol,TN-85,"16,407/month","8,62,000","Thiruverkadu, Chennai
"
77,2018 Hyundai Verna,1.6 CRDI SX,Manual,"1,02,497 km",1st Owner,Diesel,TN-18,"15,741/month","8,27,000","Thiruverkadu, Chennai
"
78,2016 Skoda Rapid,ELEGANCE 1.6 MPFI AT,Automatic,"99,715 km",2nd Owner,Petrol,TN-23,"13,470/month","6,89,000","Navalur
"
