,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
39,2014 Mahindra XUV500,W8 FWD,Manual,"96,302 km",1st Owner,Diesel,AP-28,"15,093/month","7,72,000","Kompally, Hyderabad"
40,2021 Renault Kwid,RXE,Manual,"14,996 km",1st Owner,Petrol,TS-09,"7,801/month","3,99,000","Kompally, Hyderabad"
41,2020 MG HECTOR,SHARP 1.5 DCT PETROL,Automatic,"54,951 km",1st Owner,Petrol,TS-09,"29,255/month","15,37,000","Bachupally, Hyderabad"
42,2021 Toyota URBAN CRUISER,MID GRADE AT,Automatic,"34,750 km",1st Owner,Petrol,TS-12,"17,797/month","9,35,000","Kompally, Hyderabad"
43,2020 Toyota YARIS,J CVT,Automatic,"20,004 km",1st Owner,Petrol,TS-07,"16,350/month","8,59,000","Kompally, Hyderabad"
44,2019 Datsun Redi Go,A,Manual,"32,329 km",2nd Owner,Petrol,TS-08,"5,767/month","2,95,000","Bachupally, Hyderabad"
45,2018 Volkswagen Ameo,TRENDLINE 1.0L,Manual,"61,953 km",2nd Owner,Petrol,TS-08,"10,401/month","5,32,000","Kompally, Hyderabad"
46,2014 Maruti Swift Dzire,VXI,Manual,"61,819 km",1st Owner,Petrol,TS-08,"9,443/month","4,83,000","Bachupally, Hyderabad"
47,2020 KIA SELTOS,HTX 1.5 PETROL,Manual,"42,372 km",1st Owner,Petrol,TS-08,"24,478/month","12,86,000","Kompally, Hyderabad"
48,2017 Maruti Wagon R 1.0,VXI,Manual,"64,464 km",1st Owner,Petrol,TS-09,"7,957/month","4,07,000","Kompally, Hyderabad"
49,2017 Ford Ecosport,TITANIUM 1.5L DIESEL,Manual,"88,695 km",1st Owner,Diesel,TS-09,"13,626/month","6,97,000","Kompally, Hyderabad"
50,2013 Honda City,1.5L I-VTEC V MT,Manual,"89,205 km",2nd Owner,Petrol,AP-28,"10,303/month","5,27,000","Kompally, Hyderabad"
51,2019 Maruti Baleno,DELTA PETROL 1.2,Manual,"63,840 km",2nd Owner,Petrol,TS-07,"12,825/month","6,56,000","Kompally, Hyderabad"
52,2017 Hyundai Verna,1.6 SX (O) CRDI MT,Manual,"1,10,600 km",1st Owner,Diesel,TS-09,"16,274/month","8,55,000","Kompally, Hyderabad"
53,2020 Renault TRIBER,RXT AMT,Automatic,"21,687 km",2nd Owner,Petrol,TS-10,"13,881/month","7,10,000","Bachupally, Hyderabad"
